epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.4467,0.2439,0.2751,0.3810,0.8143,0.6042,0.6107,5
2,0.2725,0.1106,0.1940,0.2972,1.1105,0.4508,0.4586,3
3,0.2320,0.0636,0.1864,0.2817,1.0733,0.5006,0.5146,3
4,0.2200,0.0524,0.1822,0.2734,1.1339,0.4862,0.4826,3
5,0.2118,0.0469,0.1779,0.2652,1.1467,0.4930,0.4956,3
6,0.2009,0.0425,0.1700,0.2483,1.1697,0.4878,0.4903,3
7,0.1919,0.0387,0.1637,0.2362,1.1324,0.4972,0.5066,3
8,0.1819,0.0360,0.1555,0.2179,1.1230,0.5167,0.5121,3
9,0.1716,0.0334,0.1471,0.2028,1.1079,0.5062,0.5222,3
10,0.1613,0.0313,0.1382,0.1845,1.1078,0.5088,0.5044,3
11,0.1506,0.0295,0.1289,0.1647,1.1050,0.5154,0.5134,3
12,0.1406,0.0279,0.1199,0.1479,1.1170,0.4919,0.5126,3
13,0.1315,0.0260,0.1122,0.1337,1.1199,0.5051,0.5286,3
14,0.1259,0.0243,0.1077,0.1255,1.1453,0.4967,0.4995,3
15,0.1193,0.0230,0.1020,0.1136,1.1575,0.4963,0.5132,3
16,0.1119,0.0221,0.0952,0.1017,1.1712,0.4744,0.4860,3
17,0.1062,0.0214,0.0901,0.0916,1.1214,0.5046,0.5183,3
18,0.0983,0.0208,0.0826,0.0778,1.1281,0.5034,0.5181,3
19,0.0937,0.0201,0.0785,0.0712,1.1343,0.5157,0.5273,3
20,0.0894,0.0190,0.0750,0.0653,1.1079,0.5075,0.5143,3
21,0.0841,0.0186,0.0700,0.0574,1.1335,0.4988,0.5073,3
22,0.0801,0.0181,0.0663,0.0499,1.1353,0.5112,0.5134,3
23,0.0750,0.0179,0.0613,0.0421,1.1225,0.4973,0.5184,3
24,0.0723,0.0172,0.0591,0.0390,1.1479,0.5042,0.4919,3
25,0.0696,0.0167,0.0568,0.0360,1.1423,0.4941,0.5048,3
26,0.0645,0.0165,0.0518,0.0283,1.1616,0.4990,0.5191,3
27,0.0620,0.0160,0.0496,0.0262,1.1252,0.4985,0.5066,3
